,,FN,FP,TN,TP
total_events,mean,828.5555555555555,302.8,1207.7289156626507,990.9333333333333
total_events,median,242.5,157.5,793.5,698.5
total_events,count,18.0,10.0,166.0,30.0
n_sessions,mean,10.38888888888889,3.8,13.325301204819278,12.433333333333334
n_sessions,median,5.0,2.5,9.0,8.0
n_sessions,count,18.0,10.0,166.0,30.0
unique_songs,mean,596.9444444444445,226.0,876.6987951807229,728.0666666666667
unique_songs,median,191.5,117.0,597.0,501.5
unique_songs,count,18.0,10.0,166.0,30.0
unique_artists,mean,460.6111111111111,203.8,676.7650602409639,594.4666666666667
unique_artists,median,180.5,113.5,523.0,444.0
unique_artists,count,18.0,10.0,166.0,30.0
total_length,mean,169604.38019555557,58440.24878400001,247246.84900969878,198249.84341666667
total_length,median,48163.86264,28824.853825,156354.88689999998,131197.94532
total_length,count,18.0,10.0,166.0,30.0
avg_length,mean,246.73054138333475,245.07093884980705,247.91527839956206,249.08647157890155
avg_length,median,248.13704406809734,244.72901391752578,247.97188321011973,248.17001083333332
avg_length,count,18.0,10.0,166.0,30.0
avg_itemInSession,mean,75.45935036593131,46.85707540994872,80.73889086136103,75.50376221135525
avg_itemInSession,median,74.18541959241684,40.58673673673674,77.55616832206104,64.08632104273742
avg_itemInSession,count,18.0,10.0,166.0,30.0
num_cancellation_events,mean,0.0,0.0,0.0,0.0
num_cancellation_events,median,0.0,0.0,0.0,0.0
num_cancellation_events,count,18.0,10.0,166.0,30.0
num_thumbup,mean,36.72222222222222,16.5,55.566265060240966,39.93333333333333
num_thumbup,median,9.5,7.0,33.0,24.5
num_thumbup,count,18.0,10.0,166.0,30.0
num_thumbdown,mean,6.388888888888889,3.7,10.69277108433735,12.6
num_thumbdown,median,2.0,2.5,6.0,8.5
num_thumbdown,count,18.0,10.0,166.0,30.0
num_home,mean,31.11111111111111,12.6,42.596385542168676,37.333333333333336
num_home,median,9.0,5.5,28.5,26.0
num_home,count,18.0,10.0,166.0,30.0
num_nextsong,mean,680.7777777777778,237.7,995.0,795.9
num_nextsong,median,195.0,119.0,633.0,527.5
num_nextsong,count,18.0,10.0,166.0,30.0
activity_span_seconds,mean,2081278111.1111112,1311906800.0,3969265126.506024,1906980233.3333333
activity_span_seconds,median,2220179000.0,1163161500.0,4393390000.0,2039079000.0
activity_span_seconds,count,18.0,10.0,166.0,30.0
last_level,mean,0.2777777777777778,0.7,0.3674698795180723,0.4
last_level,median,0.0,1.0,0.0,0.0
last_level,count,18.0,10.0,166.0,30.0
last_location,mean,20.77777777777778,38.3,23.69277108433735,22.966666666666665
last_location,median,10.0,42.0,10.0,15.5
last_location,count,18.0,10.0,166.0,30.0
