threshold,tp,fp,fn,tn,precision,recall,f1,accuracy,roc_auc,utility
0.0,48,176,0,0,0.21428571428571427,1.0,0.35294117647058826,0.21428571428571427,0.8893229166666666,1520.0
0.002,48,176,0,0,0.21428571428571427,1.0,0.35294117647058826,0.21428571428571427,0.8893229166666666,1520.0
0.004,48,176,0,0,0.21428571428571427,1.0,0.35294117647058826,0.21428571428571427,0.8893229166666666,1520.0
0.006,48,176,0,0,0.21428571428571427,1.0,0.35294117647058826,0.21428571428571427,0.8893229166666666,1520.0
0.008,47,101,1,75,0.31756756756756754,0.9791666666666666,0.47959183673469385,0.5446428571428571,0.8893229166666666,1845.0
0.01,47,101,1,75,0.31756756756756754,0.9791666666666666,0.47959183673469385,0.5446428571428571,0.8893229166666666,1845.0
0.012,47,101,1,75,0.31756756756756754,0.9791666666666666,0.47959183673469385,0.5446428571428571,0.8893229166666666,1845.0
0.014,47,101,1,75,0.31756756756756754,0.9791666666666666,0.47959183673469385,0.5446428571428571,0.8893229166666666,1845.0
0.016,47,101,1,75,0.31756756756756754,0.9791666666666666,0.47959183673469385,0.5446428571428571,0.8893229166666666,1845.0
0.018000000000000002,47,101,1,75,0.31756756756756754,0.9791666666666666,0.47959183673469385,0.5446428571428571,0.8893229166666666,1845.0
0.02,47,100,1,76,0.3197278911564626,0.9791666666666666,0.48205128205128206,0.5491071428571429,0.8893229166666666,1850.0
0.022,47,99,1,77,0.3219178082191781,0.9791666666666666,0.4845360824742268,0.5535714285714286,0.8893229166666666,1855.0
0.024,47,98,1,78,0.32413793103448274,0.9791666666666666,0.48704663212435234,0.5580357142857143,0.8893229166666666,1860.0
0.026000000000000002,47,98,1,78,0.32413793103448274,0.9791666666666666,0.48704663212435234,0.5580357142857143,0.8893229166666666,1860.0
0.028,47,98,1,78,0.32413793103448274,0.9791666666666666,0.48704663212435234,0.5580357142857143,0.8893229166666666,1860.0
0.03,47,98,1,78,0.32413793103448274,0.9791666666666666,0.48704663212435234,0.5580357142857143,0.8893229166666666,1860.0
0.032,47,98,1,78,0.32413793103448274,0.9791666666666666,0.48704663212435234,0.5580357142857143,0.8893229166666666,1860.0
0.034,47,98,1,78,0.32413793103448274,0.9791666666666666,0.48704663212435234,0.5580357142857143,0.8893229166666666,1860.0
0.036000000000000004,47,98,1,78,0.32413793103448274,0.9791666666666666,0.48704663212435234,0.5580357142857143,0.8893229166666666,1860.0
0.038,47,98,1,78,0.32413793103448274,0.9791666666666666,0.48704663212435234,0.5580357142857143,0.8893229166666666,1860.0
0.04,47,98,1,78,0.32413793103448274,0.9791666666666666,0.48704663212435234,0.5580357142857143,0.8893229166666666,1860.0
0.042,47,98,1,78,0.32413793103448274,0.9791666666666666,0.48704663212435234,0.5580357142857143,0.8893229166666666,1860.0
0.044,47,98,1,78,0.32413793103448274,0.9791666666666666,0.48704663212435234,0.5580357142857143,0.8893229166666666,1860.0
0.046,47,98,1,78,0.32413793103448274,0.9791666666666666,0.48704663212435234,0.5580357142857143,0.8893229166666666,1860.0
0.048,47,98,1,78,0.32413793103448274,0.9791666666666666,0.48704663212435234,0.5580357142857143,0.8893229166666666,1860.0
0.05,47,98,1,78,0.32413793103448274,0.9791666666666666,0.48704663212435234,0.5580357142857143,0.8893229166666666,1860.0
0.052000000000000005,47,98,1,78,0.32413793103448274,0.9791666666666666,0.48704663212435234,0.5580357142857143,0.8893229166666666,1860.0
0.054,47,98,1,78,0.32413793103448274,0.9791666666666666,0.48704663212435234,0.5580357142857143,0.8893229166666666,1860.0
0.056,47,98,1,78,0.32413793103448274,0.9791666666666666,0.48704663212435234,0.5580357142857143,0.8893229166666666,1860.0
0.058,47,92,1,84,0.3381294964028777,0.9791666666666666,0.5026737967914439,0.5848214285714286,0.8893229166666666,1890.0
0.06,47,92,1,84,0.3381294964028777,0.9791666666666666,0.5026737967914439,0.5848214285714286,0.8893229166666666,1890.0
0.062,47,92,1,84,0.3381294964028777,0.9791666666666666,0.5026737967914439,0.5848214285714286,0.8893229166666666,1890.0
0.064,47,92,1,84,0.3381294964028777,0.9791666666666666,0.5026737967914439,0.5848214285714286,0.8893229166666666,1890.0
0.066,47,92,1,84,0.3381294964028777,0.9791666666666666,0.5026737967914439,0.5848214285714286,0.8893229166666666,1890.0
0.068,47,91,1,85,0.34057971014492755,0.9791666666666666,0.5053763440860215,0.5892857142857143,0.8893229166666666,1895.0
0.07,47,89,1,87,0.34558823529411764,0.9791666666666666,0.5108695652173914,0.5982142857142857,0.8893229166666666,1905.0
0.07200000000000001,47,89,1,87,0.34558823529411764,0.9791666666666666,0.5108695652173914,0.5982142857142857,0.8893229166666666,1905.0
0.074,47,88,1,88,0.34814814814814815,0.9791666666666666,0.5136612021857924,0.6026785714285714,0.8893229166666666,1910.0
0.076,47,88,1,88,0.34814814814814815,0.9791666666666666,0.5136612021857924,0.6026785714285714,0.8893229166666666,1910.0
0.078,47,88,1,88,0.34814814814814815,0.9791666666666666,0.5136612021857924,0.6026785714285714,0.8893229166666666,1910.0
0.08,46,79,2,97,0.368,0.9583333333333334,0.5317919075144508,0.6383928571428571,0.8893229166666666,1905.0
0.082,46,79,2,97,0.368,0.9583333333333334,0.5317919075144508,0.6383928571428571,0.8893229166666666,1905.0
0.084,46,79,2,97,0.368,0.9583333333333334,0.5317919075144508,0.6383928571428571,0.8893229166666666,1905.0
0.08600000000000001,46,79,2,97,0.368,0.9583333333333334,0.5317919075144508,0.6383928571428571,0.8893229166666666,1905.0
0.088,46,79,2,97,0.368,0.9583333333333334,0.5317919075144508,0.6383928571428571,0.8893229166666666,1905.0
0.09,46,78,2,98,0.3709677419354839,0.9583333333333334,0.5348837209302325,0.6428571428571429,0.8893229166666666,1910.0
0.092,46,78,2,98,0.3709677419354839,0.9583333333333334,0.5348837209302325,0.6428571428571429,0.8893229166666666,1910.0
0.094,46,78,2,98,0.3709677419354839,0.9583333333333334,0.5348837209302325,0.6428571428571429,0.8893229166666666,1910.0
0.096,46,78,2,98,0.3709677419354839,0.9583333333333334,0.5348837209302325,0.6428571428571429,0.8893229166666666,1910.0
0.098,46,78,2,98,0.3709677419354839,0.9583333333333334,0.5348837209302325,0.6428571428571429,0.8893229166666666,1910.0
0.1,46,78,2,98,0.3709677419354839,0.9583333333333334,0.5348837209302325,0.6428571428571429,0.8893229166666666,1910.0
0.10200000000000001,46,78,2,98,0.3709677419354839,0.9583333333333334,0.5348837209302325,0.6428571428571429,0.8893229166666666,1910.0
0.10400000000000001,46,78,2,98,0.3709677419354839,0.9583333333333334,0.5348837209302325,0.6428571428571429,0.8893229166666666,1910.0
0.106,46,77,2,99,0.37398373983739835,0.9583333333333334,0.5380116959064327,0.6473214285714286,0.8893229166666666,1915.0
0.108,46,77,2,99,0.37398373983739835,0.9583333333333334,0.5380116959064327,0.6473214285714286,0.8893229166666666,1915.0
0.11,46,77,2,99,0.37398373983739835,0.9583333333333334,0.5380116959064327,0.6473214285714286,0.8893229166666666,1915.0
