number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_best_iter,user_attrs_mean_recall,state
0,0.7516339869281046,2025-08-23 19:17:40.505331,2025-08-23 19:17:42.401985,0 days 00:00:01.896654,0.46129969114188096,4.769765500059676,0.2751935565356409,5,8,3.350722243132878e-08,0.0002861509434289104,0.5381427849433403,1000,0.7516339869281046,COMPLETE
1,0.7494553376906318,2025-08-23 19:17:42.422466,2025-08-23 19:17:44.181953,0 days 00:00:01.759487,0.5151538401225413,4.9823925274961836,0.0872644785456933,4,15,5.8669798664941865e-06,2.6838733192670634e-07,0.6595512003201393,1000,0.7494553376906318,COMPLETE
2,0.7494553376906318,2025-08-23 19:17:44.190728,2025-08-23 19:17:46.027399,0 days 00:00:01.836671,0.9019760325776486,0.4175644754006397,0.0945449024759541,8,13,0.0019412129153787532,3.445319302411846e-06,0.6663475638986955,1000,0.7494553376906318,COMPLETE
3,0.7690631808278866,2025-08-23 19:17:46.034547,2025-08-23 19:17:47.924964,0 days 00:00:01.890417,0.6007510490902476,0.253502648077803,0.21592505200006198,3,12,0.00039855626338395706,8.335145353999694e-05,0.5701973913121949,1000,0.7690631808278866,COMPLETE
4,0.7886710239651417,2025-08-23 19:17:47.933427,2025-08-23 19:17:49.713303,0 days 00:00:01.779876,0.653593481232619,1.0779588954652397,0.011846783127234353,5,19,0.03568991468969499,1.4121890063697175e-06,0.8556303139071445,1000,0.7886710239651417,COMPLETE
5,0.7875816993464052,2025-08-23 19:17:49.719349,2025-08-23 19:17:51.533196,0 days 00:00:01.813847,0.9919418696185842,2.1727532557293436,0.006880204038670806,6,11,3.2779950951635624e-08,0.06368231279175743,0.6457244810617084,1000,0.7875816993464052,COMPLETE
6,0.8464052287581699,2025-08-23 19:17:51.539219,2025-08-23 19:17:53.538337,0 days 00:00:01.999118,0.999780539327995,0.6538405297635214,0.001148055382862419,8,12,9.190161286673499e-07,0.11632700177530662,0.9901745419750348,1000,0.8464052287581699,COMPLETE
7,0.7701525054466231,2025-08-23 19:17:53.545365,2025-08-23 19:17:55.412069,0 days 00:00:01.866704,0.6691190312092672,1.1104062559753203,0.013790585031867426,8,11,0.0037296590969817653,9.822552031889496e-05,0.8172233864476974,1000,0.7701525054466231,COMPLETE
8,0.8257080610021786,2025-08-23 19:17:55.419597,2025-08-23 19:17:57.072151,0 days 00:00:01.652554,0.6325094267994117,4.7477279039059095,0.13802889101414795,8,12,1.3391774507645006e-06,0.6685625231653657,0.66547047811621,1000,0.8257080610021786,COMPLETE
9,0.8660130718954249,2025-08-23 19:17:57.080177,2025-08-23 19:17:58.791664,0 days 00:00:01.711487,0.47485872593143424,4.381369737865824,0.0026099314388543095,5,17,7.756322423969425,5.181447348419689,0.8006586774781707,1000,0.8660130718954249,COMPLETE
10,0.8660130718954249,2025-08-23 19:17:58.798945,2025-08-23 19:18:00.552734,0 days 00:00:01.753789,0.4244984273309113,3.5089568920221597,0.0016950710211215405,3,1,9.118735875742203,9.363470708948393,0.9443699233807142,1000,0.8660130718954249,COMPLETE
11,0.8660130718954249,2025-08-23 19:18:00.559771,2025-08-23 19:18:02.454364,0 days 00:00:01.894593,0.4149830447763347,3.5904362449679255,0.0012851363376998408,3,1,5.587271308440023,6.057266925609139,0.9719629874266889,1000,0.8660130718954249,COMPLETE
12,0.8660130718954249,2025-08-23 19:18:02.461462,2025-08-23 19:18:04.451968,0 days 00:00:01.990506,0.7855182482306631,3.531631386165988,0.0028436701889846083,5,1,7.869678789325098,9.79705555028333,0.8570432189712377,1000,0.8660130718954249,COMPLETE
13,0.8464052287581699,2025-08-23 19:18:04.458932,2025-08-23 19:18:06.486400,0 days 00:00:02.027468,0.5161799210853957,3.732637341873466,0.003579429204634584,3,5,0.2456575757633637,0.02077137385192814,0.9194744791983194,1000,0.8464052287581699,COMPLETE
14,0.7298474945533768,2025-08-23 19:18:06.494168,2025-08-23 19:18:08.166739,0 days 00:00:01.672571,0.5480244089126316,2.8225471659611583,0.03497966505076384,10,20,0.32819937063211324,0.0036574648948197582,0.7454192497614378,1000,0.7298474945533768,COMPLETE
15,0.7886710239651417,2025-08-23 19:18:08.172250,2025-08-23 19:18:09.957888,0 days 00:00:01.785638,0.4033284431308933,3.9621487232926578,0.002905975953461966,4,17,0.5299965889396466,0.8354056526120863,0.7604885292380182,1000,0.7886710239651417,COMPLETE
16,0.8464052287581699,2025-08-23 19:18:09.965632,2025-08-23 19:18:12.004181,0 days 00:00:02.038549,0.7810925918741327,2.642611506241561,0.00603170568623014,6,7,0.030437132998766613,1.746420215315048e-08,0.930215800208895,1000,0.8464052287581699,COMPLETE
17,0.8464052287581699,2025-08-23 19:18:12.009311,2025-08-23 19:18:13.793117,0 days 00:00:01.783806,0.4702544619214851,4.231429926464416,0.028365250584188647,4,5,1.6099380194408828,0.0037346320851698016,0.7742241339488718,1000,0.8464052287581699,COMPLETE
18,0.8856209150326797,2025-08-23 19:18:13.800889,2025-08-23 19:18:15.729512,0 days 00:00:01.928623,0.7404289036447401,3.117975881361157,0.0016896626652283112,7,15,0.04113630380657468,1.203784435772038,0.8810031250201567,1000,0.8856209150326797,COMPLETE
19,0.80718954248366,2025-08-23 19:18:15.734495,2025-08-23 19:18:17.571922,0 days 00:00:01.837427,0.7404460777556696,1.8069772869234473,0.006104592279550524,7,16,0.027762638916509045,1.3811180742178453,0.8768335118537905,1000,0.80718954248366,COMPLETE
20,0.8082788671023965,2025-08-23 19:18:17.577558,2025-08-23 19:18:19.451734,0 days 00:00:01.874176,0.8638287133945086,2.9969775328364903,0.0021056219532451514,10,18,1.7936251295446192e-05,0.0019319381116163952,0.8084000863699399,1000,0.8082788671023965,COMPLETE
21,0.8856209150326797,2025-08-23 19:18:19.459761,2025-08-23 19:18:21.416794,0 days 00:00:01.957033,0.5760282962966526,3.3435484971311724,0.001605727113330695,7,15,2.0679873494355645,0.21989308708292074,0.9181334776408473,1000,0.8856209150326797,COMPLETE
22,0.8856209150326797,2025-08-23 19:18:21.424564,2025-08-23 19:18:23.402316,0 days 00:00:01.977752,0.583658742253962,4.355217823876223,0.0010718444778739027,7,15,0.13802461314744452,0.2933325484111388,0.8919458954027949,1000,0.8856209150326797,COMPLETE
23,0.8856209150326797,2025-08-23 19:18:23.409202,2025-08-23 19:18:25.544076,0 days 00:00:02.134874,0.5838316362955073,3.264054511521432,0.0010239970580436003,7,15,0.09063250194771313,0.11844641833001009,0.8927828624586194,1000,0.8856209150326797,COMPLETE
24,0.8267973856209151,2025-08-23 19:18:25.551109,2025-08-23 19:18:27.748698,0 days 00:00:02.197589,0.7044134923856866,2.220018933260307,0.00437536228630791,7,14,0.006838925319538075,0.025502340171784932,0.9074008792041052,1000,0.8267973856209151,COMPLETE
25,0.8464052287581699,2025-08-23 19:18:27.754459,2025-08-23 19:18:30.033505,0 days 00:00:02.279046,0.7149266962956052,4.211021512335446,0.0017362318419385056,9,9,0.0003882220226352621,0.4565132528057306,0.9567760496319209,1000,0.8464052287581699,COMPLETE
26,0.8267973856209151,2025-08-23 19:18:30.042308,2025-08-23 19:18:32.056487,0 days 00:00:02.014179,0.5920702528943672,3.1267663459932624,0.0017052675760468809,6,14,1.5916594210007038,0.2918392545920413,0.7105320556059103,1000,0.8267973856209151,COMPLETE
27,0.8660130718954249,2025-08-23 19:18:32.063521,2025-08-23 19:18:34.135221,0 days 00:00:02.071700,0.8275859315050025,3.91970234801485,0.0010476953239474886,9,16,1.1403302459192781,0.01468111191694576,0.856258163381171,1000,0.8660130718954249,COMPLETE
28,0.7494553376906318,2025-08-23 19:18:34.144396,2025-08-23 19:18:36.016465,0 days 00:00:01.872069,0.627289904897956,1.7168128251812274,0.009464886886089485,7,20,0.16039308307320221,1.8937347880562303,0.8239652639626663,1000,0.7494553376906318,COMPLETE
29,0.8464052287581699,2025-08-23 19:18:36.024492,2025-08-23 19:18:38.105887,0 days 00:00:02.081395,0.5452428108374572,4.608365783374222,0.00403777597941824,9,9,6.709487100288788e-05,0.0006958672631261065,0.8854177630619038,1000,0.8464052287581699,COMPLETE
30,0.8267973856209151,2025-08-23 19:18:38.113657,2025-08-23 19:18:40.099728,0 days 00:00:01.986071,0.7492681250753377,2.4441290402463616,0.0021049014609632083,6,18,0.010387340851061787,0.18373570662245786,0.9754740797485408,1000,0.8267973856209151,COMPLETE
31,0.8856209150326797,2025-08-23 19:18:40.105787,2025-08-23 19:18:42.241281,0 days 00:00:02.135494,0.5828320417508481,3.2161257134101113,0.001000557797027484,7,15,0.06978894476263245,0.05908953973922215,0.9112196629453112,1000,0.8856209150326797,COMPLETE
32,0.8856209150326797,2025-08-23 19:18:42.249311,2025-08-23 19:18:44.390178,0 days 00:00:02.140867,0.6776603276612755,3.2717598361235987,0.0014779020051108158,7,14,0.0767858387965607,1.3823617444755951,0.8870100001458862,1000,0.8856209150326797,COMPLETE
33,0.8856209150326797,2025-08-23 19:18:44.397856,2025-08-23 19:18:46.505916,0 days 00:00:02.108060,0.5539389346366701,4.991514571105986,0.0010134891265939324,8,15,0.001160839074822999,0.1259821609021204,0.836439685199909,1000,0.8856209150326797,COMPLETE
34,0.8464052287581699,2025-08-23 19:18:46.513450,2025-08-23 19:18:48.371729,0 days 00:00:01.858279,0.5110973499257168,2.829361299200352,0.027297819264002418,7,13,1.615096218711078,2.382371484447086e-05,0.9972334838048861,1000,0.8464052287581699,COMPLETE
35,0.8267973856209151,2025-08-23 19:18:48.377701,2025-08-23 19:18:50.414460,0 days 00:00:02.036759,0.637677774067887,3.9767393513906537,0.002248979752193112,6,17,0.009143547599829365,0.010995963082956549,0.9430544058375685,1000,0.8267973856209151,COMPLETE
36,0.8464052287581699,2025-08-23 19:18:50.420527,2025-08-23 19:18:52.553472,0 days 00:00:02.132945,0.5156662082794196,3.4255206455700704,0.0015161103283384122,8,13,0.0011811428645245852,2.596682207368153,0.9012908909053817,1000,0.8464052287581699,COMPLETE
37,0.7690631808278866,2025-08-23 19:18:52.557491,2025-08-23 19:18:54.539609,0 days 00:00:01.982118,0.5979057137122922,2.501497069787007,0.004518567688384544,7,15,0.11707893965832655,0.03966504406307256,0.7203987274858832,1000,0.7690631808278866,COMPLETE
